sample_id,site
M1,Falalop
M10,Falalop
M100,Sohng
M101,Yealeil
M102,Yealeil
M103,Yealeil
M104,Yealeil
M105,Yealeil
M106,Yealeil
M107,Yealeil
M108,Yealeil
M109,Yealeil
M11,Asor
M110,Yealeil
M12,Asor
M13,Asor
M14,Asor
M15,Asor
M16,Asor
M17,Asor
M18,Asor
M19,Asor
M2,Falalop
M20,Asor
M21,MogMog
M22,MogMog
M23,MogMog
M24,MogMog
M25,MogMog
M26,MogMog
M27,MogMog
M28,MogMog
M29,MogMog
M3,Falalop
M30,MogMog
M31,Sorghlei
M32,Sorghlei
M33,Sorghlei
M34,Sorghlei
M35,Sorghlei
M36,Sorghlei
M37,Sorghlei
M38,Sorghlei
M39,Sorghlei
M4,Falalop
M40,Sorghlei
M41,Federai
M42,Federai
M43,Federai
M44,Federai
M45,Federai
M46,Federai
M47,Federai
M48,Federai
M49,Federai
M5,Falalop
M50,Federai
M51,Fetabul
M52,Fetabul
M53,Fetabul
M54,Fetabul
M55,Fetabul
M56,Fetabul
M57,Fetabul
M58,Fetabul
M59,Fetabul
M6,Falalop
M60,Fetabul
M7,Falalop
M71,Pigleilei
M72,Pigleilei
M73,Pigleilei
M74,Pigleilei
M75,Pigleilei
M76,Pigleilei
M77,Pigleilei
M78,Pigleilei
M79,Pigleilei
M8,Falalop
M80,Pigleilei
M81,Laam
M82,Laam
M83,Laam
M84,Laam
M85,Laam
M86,Laam
M87,Laam
M88,Laam
M89,Laam
M9,Falalop
M90,Laam
M91,Sohng
M92,Sohng
M93,Sohng
M94,Sohng
M95,Sohng
M96,Sohng
M97,Sohng
M98,Sohng
M99,Sohng
